1
Frequency=2300(MHz)
Frequency=2300(MHz)Phi=90.0000000000002(deg)

Theta	E Total. dB
-3.1415926536	-4.60115967378175
-3.089232776	-4.7534972240867
-3.0368728985	-5.21979063128818
-2.9845130209	-5.90761492681286
-2.9321531434	-6.65072955911996
-2.8797932658	-7.24094985741341
-2.8274333882	-7.53521637987352
-2.7750735107	-7.54491069204611
-2.7227136331	-7.3826005107449
-2.6703537556	-7.15210674034824
-2.617993878	-6.91456226130866
-2.5656340004	-6.71548661132222
-2.5132741229	-6.6084411310349
-2.4609142453	-6.65145571916337
-2.4085543678	-6.88825177220397
-2.3561944902	-7.32910495075764
-2.3038346126	-7.93376693670254
-2.2514747351	-8.59581172191291
-2.1991148575	-9.14455845668877
-2.14675498	-9.40281042953008
-2.0943951024	-9.29540120226821
-2.0420352248	-8.89399817504273
-1.9896753473	-8.33711578152247
-1.9373154697	-7.73451078627416
-1.8849555922	-7.13657829737596
-1.8325957146	-6.54662639473648
-1.780235837	-5.94283632225007
-1.7278759595	-5.29882096991583
-1.6755160819	-4.59986729032085
-1.6231562044	-3.85100139069774
-1.5707963268	-3.07452459218724
-1.5184364492	-2.30027681676371
-1.4660765717	-1.555267769941
-1.4137166941	-0.857298405785803
-1.3613568166	-0.213321774181957
-1.308996939	0.378874724625594
-1.2566370614	0.927369235526081
-1.2042771839	1.44246460184524
-1.1519173063	1.93352443333962
-1.0995574288	2.40673316205048
-1.0471975512	2.86391726956693
-0.9948376736	3.30241923329791
-0.9424777961	3.71596249498531
-0.8901179185	4.09637551099113
-0.837758041	4.43582038740081
-0.7853981634	4.72898635686574
-0.7330382858	4.97465880223736
-0.6806784083	5.17629645149881
-0.6283185307	5.34152218346073
-0.5759586532	5.48074076415043
-0.5235987756	5.6052399410925
-0.47123889804	5.7251856908835
-0.41887902048	5.84782999014181
-0.36651914292	5.97620441083449
-0.31415926536	6.10857614046207
-0.2617993878	6.23891554790748
-0.20943951024	6.35840597208444
-0.15707963268	6.45764121277084
-0.10471975512	6.52885194158278
-0.05235987756	6.56748476831176
-4.4408920985E-16	6.57271965922892
0.05235987756	6.54691530574955
0.10471975512	6.49430607254455
0.15707963268	6.41946783071666
0.20943951024	6.3260704654939
0.2617993878	6.21627282759192
0.31415926536	6.09079253307134
0.36651914292	5.949479745359
0.41887902048	5.79204556833375
0.47123889804	5.61863519358964
0.5235987756	5.43000078092042
0.5759586532	5.22716738860254
0.6283185307	5.01065697770251
0.6806784083	4.77956490929127
0.7330382858	4.53090210426771
0.7853981634	4.25958420022391
0.837758041	3.95918048566622
0.8901179185	3.62324092244052
0.9424777961	3.24679799439148
0.9948376736	2.82761540062152
1.0471975512	2.36683426871316
1.0995574288	1.86876142659022
1.1519173063	1.3396850908968
1.2042771839	0.785861116115786
1.2566370614	0.211183408857829
1.308996939	-0.384563061800089
1.3613568166	-1.0060474105361
1.4137166941	-1.66102926986014
1.4660765717	-2.35770682683043
1.5184364492	-3.10164363845934
1.5707963268	-3.89314820813711
1.6231562044	-4.72596504525443
1.6755160819	-5.58816184864635
1.7278759595	-6.46580623223122
1.780235837	-7.3484287021573
1.8325957146	-8.2325899285808
1.8849555922	-9.11840783051916
1.9373154697	-9.99617882986282
1.9896753473	-10.8252937733222
2.0420352248	-11.5142954003817
2.0943951024	-11.923300233277
2.14675498	-11.9205816579321
2.1991148575	-11.4820601479442
2.2514747351	-10.7317025128177
2.3038346126	-9.86737249260292
2.3561944902	-9.06473901144506
2.4085543678	-8.43695419851634
2.4609142453	-8.03605489160755
2.5132741229	-7.86449083125711
2.5656340004	-7.88523032213673
2.617993878	-8.03223152067545
2.6703537556	-8.22410610860945
2.7227136331	-8.37507929542814
2.7750735107	-8.3930415211077
2.8274333882	-8.17860424133596
2.8797932658	-7.66788869164775
2.9321531434	-6.90696488409274
2.9845130209	-6.05599007908657
3.0368728985	-5.30351696333959
3.089232776	-4.79223351906202
3.1415926536	-4.60115967378175
